id_usuario,nombre,apellido,correo,tipo_circunscripcion
1000455811,Luis,Martinez,luismartinez24210@gmail.com,NACIONAL
1018514328,Luis,Polo,REMOVED_EMAIL,NACIONAL
32149213,Maritza,Romero,maritza.romero49213@example.com,NACIONAL
64945586,Luisa,Torres,luisa.torres45586@example.com,NACIONAL
91530062,Consuelo,Correa,consuelo.correa30062@example.com,NACIONAL
71561037,Johan,Betancur,johan.betancur61037@example.com,NACIONAL
68721040,John,Martínez,john.martinez21040@example.com,NACIONAL
57647834,Cristian,Duque,cristian.duque47834@example.com,NACIONAL
50528148,Sneider,Cifuentes,sneider.cifuentes28148@example.com,NACIONAL
87315407,William,Cortés,william.cortes15407@example.com,INDIGENA
35989601,Cristian,Velasco,cristian.velasco89601@example.com,NACIONAL
28290974,Andrea,Hernández,andrea.hernandez90974@example.com,NACIONAL
76135970,Armando,Ávila,armando.avila35970@example.com,INDIGENA
18781827,Luis,García,luis.garcia81827@example.com,NACIONAL
18487532,Dario,Quintero,dario.quintero87532@example.com,NACIONAL
9452328,Alicia,Muñoz,alicia.munoz52328@example.com,NACIONAL
64953671,Leidy,Morales,leidy.morales53671@example.com,NACIONAL
27513278,Paola,Márquez,paola.marquez13278@example.com,INDIGENA
28054393,Amparo,Parra,amparo.parra54393@example.com,NACIONAL
11373531,Aurora,Arias,aurora.arias73531@example.com,INDIGENA
60223751,Diana,González,diana.gonzalez23751@example.com,NACIONAL
49232640,David,Villamizar,david.villamizar32640@example.com,NACIONAL
94133287,Carlos,Rodríguez,carlos.rodriguez33287@example.com,INDIGENA
50294339,Jaime,Valencia,jaime.valencia94339@example.com,NACIONAL
31742715,Erika,Valencia,erika.valencia42715@example.com,NACIONAL
48178542,Carmen,Páez,carmen.paez78542@example.com,INDIGENA
43277788,José,Osorio,jose.osorio77788@example.com,NACIONAL
86061881,Teresa,Buitrago,teresa.buitrago61881@example.com,NACIONAL
81669056,Laura,Mosquera,laura.mosquera69056@example.com,NACIONAL
62904293,José,Ayala,jose.ayala04293@example.com,NACIONAL
73416993,Alba,Zapata,alba.zapata16993@example.com,INDIGENA
40804934,Cecilia,Peña,cecilia.pena04934@example.com,NACIONAL
78044142,Aura,Rodríguez,aura.rodriguez44142@example.com,NACIONAL
37762172,Jenny,Miranda,jenny.miranda62172@example.com,INDIGENA
56318026,Miguel,Ávila,miguel.avila18026@example.com,NACIONAL
24138960,Cristina,Vargas,cristina.vargas38960@example.com,NACIONAL
58328262,Leidy,Santos,leidy.santos28262@example.com,NACIONAL
4659369,Paula,López,paula.lopez59369@example.com,NACIONAL
65438611,Gloria,Arrieta,gloria.arrieta38611@example.com,NACIONAL
48766503,Rosa,Flórez,rosa.florez66503@example.com,NACIONAL
26672083,José,Cárdenas,jose.cardenas72083@example.com,NACIONAL
87677340,Camilo,Giraldo,camilo.giraldo77340@example.com,NACIONAL
77489556,Lisbeth,Zambrano,lisbeth.zambrano89556@example.com,NACIONAL
30411797,Adolfo,Ibarra,adolfo.ibarra11797@example.com,NACIONAL
92287247,Gabriela,Sarmiento,gabriela.sarmiento87247@example.com,NACIONAL
84621021,María,Guerrero,maria.guerrero21021@example.com,NACIONAL
46538757,Armando,Rodríguez,armando.rodriguez38757@example.com,NACIONAL
2414915,Luz,Guevara,luz.guevara14915@example.com,NACIONAL
40592393,María,Ramírez,maria.ramirez92393@example.com,NACIONAL
22574535,Jorge,Silva,jorge.silva74535@example.com,INDIGENA
85602080,Leticia,Fernández,leticia.fernandez02080@example.com,NACIONAL
3666727,Óscar,Sánchez,oscar.sanchez66727@example.com,NACIONAL
30738371,Lina,Díaz,lina.diaz38371@example.com,NACIONAL
96521009,Zoraida,Parra,zoraida.parra21009@example.com,NACIONAL
94142684,María,Acosta,maria.acosta42684@example.com,NACIONAL
72677613,Armando,Zapata,armando.zapata77613@example.com,NACIONAL
31690836,Judith,Prieto,judith.prieto90836@example.com,NACIONAL
45899466,María,Álvarez,maria.alvarez99466@example.com,NACIONAL
22341143,Cristina,Pinzón,cristina.pinzon41143@example.com,NACIONAL
87587957,María,Rodríguez,maria.rodriguez87957@example.com,NACIONAL
19366809,Yéssica,Moreno,yessica.moreno66809@example.com,NACIONAL
83005311,Miguel,Polo,miguel.polo05311@example.com,NACIONAL
97084204,David,Rojas,david.rojas84204@example.com,NACIONAL
18117500,Ofelia,Carrillo,ofelia.carrillo17500@example.com,NACIONAL
40366970,René,Vásquez,rene.vasquez66970@example.com,INDIGENA
84252586,Cindy,Arévalo,cindy.arevalo52586@example.com,INDIGENA
91547370,Luz,Ospino,luz.ospino47370@example.com,NACIONAL
40825099,Elkin,Salazar,elkin.salazar25099@example.com,NACIONAL
85615666,Carlos,Cárdenas,carlos.cardenas15666@example.com,NACIONAL
50522422,Ever,Bohórquez,ever.bohorquez22422@example.com,NACIONAL
83817617,Elisa,Vásquez,elisa.vasquez17617@example.com,INDIGENA
12372084,Ever,Ávila,ever.avila72084@example.com,NACIONAL
80889780,Inés,Paz,ines.paz89780@example.com,INDIGENA
24464166,Liliana,Duarte,liliana.duarte64166@example.com,NACIONAL
38054809,Yuliana,Rodríguez,yuliana.rodriguez54809@example.com,NACIONAL
17592033,Angélica,Rodríguez,angelica.rodriguez92033@example.com,NACIONAL
89672877,Mary,López,mary.lopez72877@example.com,INDIGENA
93974971,Javier,Gaviria,javier.gaviria74971@example.com,INDIGENA
93437663,Alejandra,Ochoa,alejandra.ochoa37663@example.com,NACIONAL
89144451,Antonio,Gutiérrez,antonio.gutierrez44451@example.com,NACIONAL
50718396,Emilio,Arango,emilio.arango18396@example.com,INDIGENA
12723034,Mauricio,Saavedra,mauricio.saavedra23034@example.com,NACIONAL
76655823,Luz,Hoyos,luz.hoyos55823@example.com,NACIONAL
62343910,Jonathan,Sepúlveda,jonathan.sepulveda43910@example.com,NACIONAL
26585954,Luz,Osorio,luz.osorio85954@example.com,NACIONAL
37679192,Eliana,Caballero,eliana.caballero79192@example.com,NACIONAL
12583632,Arturo,Velásquez,arturo.velasquez83632@example.com,NACIONAL
7074168,Luis,Martínez,luis.martinez74168@example.com,NACIONAL
63845520,Héctor,Martínez,hector.martinez45520@example.com,NACIONAL
90505271,José,Moreno,jose.moreno05271@example.com,NACIONAL
13792833,Andrés,Durán,andres.duran92833@example.com,NACIONAL
91900101,José,Díaz,jose.diaz00101@example.com,NACIONAL
53105127,Yolanda,Guerrero,yolanda.guerrero05127@example.com,NACIONAL
7051024,Fernando,Muñoz,fernando.munoz51024@example.com,INDIGENA
67193407,Jesús,León,jesus.leon93407@example.com,NACIONAL
81022957,Alba,Prada,alba.prada22957@example.com,NACIONAL
53845216,Yulieth,González,yulieth.gonzalez45216@example.com,INDIGENA
96179050,Alejandro,García,alejandro.garcia79050@example.com,NACIONAL
3652111,Rafael,Flórez,rafael.florez52111@example.com,INDIGENA
31795766,Adrián,Cruz,adrian.cruz95766@example.com,NACIONAL
25832758,Carmen,López,carmen.lopez32758@example.com,INDIGENA
91262126,Diana,Maldonado,diana.maldonado62126@example.com,NACIONAL
75105315,Rolando,Vega,rolando.vega05315@example.com,NACIONAL
57237038,Daniel,López,daniel.lopez37038@example.com,NACIONAL
62064339,Paula,Ríos,paula.rios64339@example.com,INDIGENA
55645086,Daniela,Méndez,daniela.mendez45086@example.com,NACIONAL
