id_usuario,nombre,apellido,correo,tipo_circunscripcion
88071715,José,Salcedo,jose.salcedo71715@example.com,NACIONAL
6933516,Fabián,Murillo,fabian.murillo33516@example.com,NACIONAL
30206368,Patricia,Castillo,patricia.castillo06368@example.com,NACIONAL
38761948,Elías,Pedraza,elias.pedraza61948@example.com,NACIONAL
67192665,Juan,Muñoz,juan.munoz92665@example.com,INDIGENA
45718560,Ximena,Ortega,ximena.ortega18560@example.com,NACIONAL
85024655,Antonio,Salgado,antonio.salgado24655@example.com,NACIONAL
36271676,Esther,Vargas,esther.vargas71676@example.com,NACIONAL
35530863,Elena,Rojas,elena.rojas30863@example.com,INDIGENA
80475699,Yolanda,Martínez,yolanda.martinez75699@example.com,NACIONAL
98479760,Guillermo,Gaitán,guillermo.gaitan79760@example.com,NACIONAL
20282320,Carlos,Henao,carlos.henao82320@example.com,NACIONAL
94402263,Doris,Herrera,doris.herrera02263@example.com,NACIONAL
21614475,Yanet,Parra,yanet.parra14475@example.com,NACIONAL
38920073,Vilma,Guerrero,vilma.guerrero20073@example.com,NACIONAL
14845498,Manuel,Rivas,manuel.rivas45498@example.com,INDIGENA
91372545,María,Erazo,maria.erazo72545@example.com,NACIONAL
47181163,Alfonso,Muñoz,alfonso.munoz81163@example.com,NACIONAL
41884945,Paula,Rueda,paula.rueda84945@example.com,NACIONAL
90651213,Andrés,Álvarez,andres.alvarez51213@example.com,NACIONAL
50455616,Jessica,Molina,jessica.molina55616@example.com,NACIONAL
6476426,Edgar,Gómez,edgar.gomez76426@example.com,NACIONAL
53211961,Alfonso,Orjuela,alfonso.orjuela11961@example.com,NACIONAL
72704574,Dina,Restrepo,dina.restrepo04574@example.com,NACIONAL
92528637,Patricia,Acosta,patricia.acosta28637@example.com,NACIONAL
88669324,Fanny,Tovar,fanny.tovar69324@example.com,INDIGENA
81173100,Alejandro,Gutiérrez,alejandro.gutierrez73100@example.com,NACIONAL
19817837,Alix,Palacio,alix.palacio17837@example.com,NACIONAL
41352945,Martha,Murcia,martha.murcia52945@example.com,NACIONAL
59121364,Andrea,Buitrago,andrea.buitrago21364@example.com,NACIONAL
59166570,Jesús,Aguirre,jesus.aguirre66570@example.com,NACIONAL
35104166,Jorge,Camacho,jorge.camacho04166@example.com,INDIGENA
7941558,María,Espitia,maria.espitia41558@example.com,NACIONAL
49928057,Teresa,Vásquez,teresa.vasquez28057@example.com,NACIONAL
24262132,Fernando,Triana,fernando.triana62132@example.com,INDIGENA
92551375,Raquel,Gómez,raquel.gomez51375@example.com,INDIGENA
81679709,Olga,Franco,olga.franco79709@example.com,INDIGENA
8842713,Yeimy,Acosta,yeimy.acosta42713@example.com,NACIONAL
20781707,Octavio,Muñoz,octavio.munoz81707@example.com,NACIONAL
75433820,Sandra,Padilla,sandra.padilla33820@example.com,INDIGENA
65831789,Katherin,González,katherin.gonzalez31789@example.com,INDIGENA
84040351,Laura,Díaz,laura.diaz40351@example.com,NACIONAL
31188796,Paola,Montes,paola.montes88796@example.com,NACIONAL
10840407,Hernando,García,hernando.garcia40407@example.com,NACIONAL
53019509,Javier,Patiño,javier.patino19509@example.com,INDIGENA
29051488,Alejandro,Loaiza,alejandro.loaiza51488@example.com,NACIONAL
45508217,Maritza,Lozano,maritza.lozano08217@example.com,NACIONAL
8153398,Eder,Barreto,eder.barreto53398@example.com,INDIGENA
49684816,Fernando,Nieto,fernando.nieto84816@example.com,NACIONAL
74256472,Margarita,Medina,margarita.medina56472@example.com,NACIONAL
14042300,Daniela,Bolívar,daniela.bolivar42300@example.com,NACIONAL
12236937,Diana,Franco,diana.franco36937@example.com,NACIONAL
21904812,Martha,Martínez,martha.martinez04812@example.com,NACIONAL
59023159,Emilia,Vargas,emilia.vargas23159@example.com,INDIGENA
90254277,María,Gutiérrez,maria.gutierrez54277@example.com,INDIGENA
22732944,Adriana,Serna,adriana.serna32944@example.com,NACIONAL
49639091,Héctor,Arias,hector.arias39091@example.com,NACIONAL
46450637,Andrea,Díaz,andrea.diaz50637@example.com,NACIONAL
34987458,José,Arboleda,jose.arboleda87458@example.com,NACIONAL
85435321,Alberto,Beltrán,alberto.beltran35321@example.com,NACIONAL
93198543,Andrés,Martínez,andres.martinez98543@example.com,NACIONAL
12612388,Andrey,Vargas,andrey.vargas12388@example.com,INDIGENA
9201892,Víctor,Alarcón,victor.alarcon01892@example.com,NACIONAL
57232146,Miguel,Rojas,miguel.rojas32146@example.com,INDIGENA
39460568,Carolina,León,carolina.leon60568@example.com,NACIONAL
21796358,Valentina,Obando,valentina.obando96358@example.com,NACIONAL
3925528,Manuel,Montoya,manuel.montoya25528@example.com,INDIGENA
29083524,Carmen,Hernández,carmen.hernandez83524@example.com,NACIONAL
65284610,Judith,Quintero,judith.quintero84610@example.com,NACIONAL
47368910,Eliecer,Castañeda,eliecer.castaneda68910@example.com,INDIGENA
49887046,Jenny,Lozano,jenny.lozano87046@example.com,INDIGENA
32464301,Milton,Ospina,milton.ospina64301@example.com,INDIGENA
63542159,César,Carrillo,cesar.carrillo42159@example.com,NACIONAL
87860422,Carlos,Montenegro,carlos.montenegro60422@example.com,NACIONAL
99431458,Elkin,Navarro,elkin.navarro31458@example.com,NACIONAL
65632616,Andrés,Murillo,andres.murillo32616@example.com,NACIONAL
86117130,Rubiela,Salas,rubiela.salas17130@example.com,NACIONAL
12786281,Jessica,Martínez,jessica.martinez86281@example.com,NACIONAL
11346888,Sandra,Jaramillo,sandra.jaramillo46888@example.com,NACIONAL
17949197,Alfonso,Sierra,alfonso.sierra49197@example.com,INDIGENA
95673803,Nora,Ariza,nora.ariza73803@example.com,NACIONAL
89829030,Ismael,Romero,ismael.romero29030@example.com,NACIONAL
